ticker,rsi_max,macd,stop_loss_pct,take_profit_pct,trades,wins,win_rate,avg_pnl_pct,total_pnl_pct,total_dollar_pnl,avg_hold_bars,best_trade,worst_trade,max_consec_losses
AMC,75,12/26/9,1.0,4.0,397,91,22.9,-0.059,-23.454,-2345.41,3.1,4.559,-2.913,29
AMC,75,12/26/9,2.0,4.0,397,91,22.9,-0.059,-23.454,-2345.41,3.1,4.559,-2.913,29
AMC,70,8/21/9,0.5,6.0,402,94,23.4,-0.059,-23.633,-2363.25,2.9,4.714,-2.913,27
AMC,70,8/21/9,1.0,4.0,400,94,23.5,-0.059,-23.644,-2364.39,2.9,4.377,-2.913,27
AMC,70,8/21/9,2.0,4.0,400,94,23.5,-0.059,-23.644,-2364.39,2.9,4.377,-2.913,27
AMC,70,8/21/9,0.5,4.0,402,94,23.4,-0.06,-23.969,-2396.92,2.9,4.377,-2.913,27
AMC,75,12/26/9,0.5,4.0,399,91,22.8,-0.061,-24.319,-2431.94,3.0,4.559,-2.913,29
AMC,70,12/26/9,1.0,2.0,364,80,22.0,-0.067,-24.51,-2450.98,3.1,4.377,-2.913,29
AMC,70,12/26/9,2.0,2.0,364,80,22.0,-0.067,-24.51,-2450.98,3.1,4.377,-2.913,29
AMC,60,12/26/9,1.0,2.0,279,60,21.5,-0.09,-25.074,-2507.35,3.3,2.647,-1.623,23
AMC,60,12/26/9,2.0,2.0,279,60,21.5,-0.09,-25.074,-2507.35,3.3,2.647,-1.623,23
AMC,75,10/21/9,1.0,4.0,423,98,23.2,-0.06,-25.356,-2535.64,2.9,4.559,-2.913,50
AMC,75,10/21/9,2.0,4.0,423,98,23.2,-0.06,-25.356,-2535.64,2.9,4.559,-2.913,50
AMC,70,12/26/9,0.5,2.0,366,80,21.9,-0.069,-25.375,-2537.51,3.0,4.377,-2.913,29
AMC,60,12/26/9,0.5,2.0,280,60,21.4,-0.092,-25.678,-2567.77,3.2,2.647,-1.623,23
AMC,75,10/21/9,0.5,4.0,424,98,23.1,-0.061,-25.678,-2567.81,2.9,4.559,-2.913,50
AMC,60,12/26/9,1.0,4.0,278,60,21.6,-0.093,-25.951,-2595.06,3.3,3.0,-1.623,23
AMC,60,12/26/9,1.0,6.0,278,60,21.6,-0.093,-25.951,-2595.06,3.3,3.0,-1.623,23
AMC,60,12/26/9,2.0,4.0,278,60,21.6,-0.093,-25.951,-2595.06,3.3,3.0,-1.623,23
AMC,60,12/26/9,2.0,6.0,278,60,21.6,-0.093,-25.951,-2595.06,3.3,3.0,-1.623,23
AMC,70,12/26/9,1.0,4.0,361,80,22.2,-0.072,-25.964,-2596.38,3.1,4.377,-2.913,29
AMC,70,12/26/9,2.0,4.0,361,80,22.2,-0.072,-25.964,-2596.38,3.1,4.377,-2.913,29
AMC,75,12/26/9,1.0,6.0,397,91,22.9,-0.066,-26.222,-2622.24,3.1,4.04,-2.913,29
AMC,75,12/26/9,2.0,6.0,397,91,22.9,-0.066,-26.222,-2622.24,3.1,4.04,-2.913,29
AMC,70,12/26/9,1.0,6.0,361,80,22.2,-0.073,-26.3,-2630.05,3.1,4.04,-2.913,29
AMC,70,12/26/9,2.0,6.0,361,80,22.2,-0.073,-26.3,-2630.05,3.1,4.04,-2.913,29
AMC,60,12/26/9,0.5,4.0,279,60,21.5,-0.095,-26.555,-2655.48,3.3,3.0,-1.623,23
AMC,60,12/26/9,0.5,6.0,279,60,21.5,-0.095,-26.555,-2655.48,3.3,3.0,-1.623,23
AMC,70,12/26/9,0.5,4.0,363,80,22.0,-0.074,-26.829,-2682.91,3.1,4.377,-2.913,29
AMC,75,12/26/9,0.5,6.0,399,91,22.8,-0.068,-27.088,-2708.77,3.1,4.04,-2.913,29
AMC,60,8/21/9,1.0,2.0,315,73,23.2,-0.086,-27.1,-2710.01,3.0,2.647,-1.942,19
AMC,60,8/21/9,2.0,2.0,315,73,23.2,-0.086,-27.1,-2710.01,3.0,2.647,-1.942,19
AMC,70,12/26/9,0.5,6.0,363,80,22.0,-0.075,-27.166,-2716.58,3.1,4.04,-2.913,29
AMC,60,8/21/9,0.5,2.0,317,73,23.0,-0.087,-27.425,-2742.54,3.0,2.647,-1.942,20
